最近、自分自身が本当にやりたいことを見つけることが大切だと思います。,私の経験から言うと、今はとても輝いて輝くのが大好きであり、一番輝いている時です。私はそんな自分を大切にするように心がけていました!! 私は自分の人生は自分で決めてきたと思うので、後悔はしていません!! 私と同じですが、この4年の間に色々な経,43,2023-03-19 01:16:02,2023-03-19 01:16:02
この間、友達とおしゃべりしていたら時間があっという間に過ぎました。,友人は私より数年早かったので、もう年を取っているなぁと改めて感じた年でした。 今回は、私も参加している「いのちの会」の集いがあったので、参加してきました。 「いのちの会」とは、聖書の話や、いのちのことばを通して今の私たちに必要なこと、感謝の,43,2023-03-19 01:16:28,2023-03-19 01:16:28
人間はなぜ笑うのか？その理由を解明するための研究が進んでいる,_ 海外の反応:こんな研究があるよ しかし、こんなことはこれまでも知られていたが、今回の研究で、人間はなぜ笑うのか?その理由が解明される日が来るかもしれない。 人間には、感情がある。もちろん、人間は感情を持った動物だ。感情があるからこそ、人,2,2023-03-19 01:16:43,2023-03-19 01:16:43
ロボット技術が進化すると、人間の仕事がなくなってしまうかもしれない,,28,2023-03-19 01:16:58,2023-03-19 01:16:58
この間、好きな本を読んで時間を忘れてしまいました。, いつも、仕事で会っている仲間、初めてお会いした方、久々にお会いする方 でも本当は私の大好きな作家さんの作品だから、ぜひ読んでみてほしい。 今日は、「もうすぐ春ですね」って言われるようになった今日この頃です。 最近、お会いした方々には、「最,47,2023-03-19 01:17:06,2023-03-19 01:17:06
この間、好きな場所に行ってリフレッシュしました。,先々月、お風呂上がりに髪を乾かしているときに、髪が濡れていたのに気がつき、「なんで髪を乾かしているときに?」と不思議に思いました。 よく見ると、床が濡れていたので、ドライヤーをかけずにそのまま床にそのまま座っている状態だったのです。 お湯は,80,2023-03-19 01:17:21,2023-03-19 01:17:21
最近、自分自身の成長を感じられるようになってきました。,1回目の「基礎力」と2回目の「発想・発想」のトレーニングを 今回のトレーニングで学んだことを、次の「成長のためのステップ」に繋げて 今回、このような機会を頂き、本当にありがとうございました。 これからもトレーニングの質を高め、「新たな」人生,26,2023-03-19 01:17:38,2023-03-19 01:17:38
最近、料理に挑戦することが多くなりました。,今までは、料理に凝ったりということはあまり無く、単純に料理を作ることが好きでした。 そこで私は、料理をするには、食材の選び方や切り方など、基本的なところが大切だと思います。 今回は、私が今までに料理に凝ったことがなかったので、レシピ本を必死,60,2023-03-19 01:17:53,2023-03-19 01:17:53
最近、運動を始めてから体調が良くなりました。,私自身も、何かスポーツを始めたいと考えるようになりました。 運動は好きなので、運動のきっかけを作ってあげられるのではないだろうか。 私は、元々料理が好きなので、自分で何か料理を作ることができるのであれば、やってみたいと思っていました。 何が,22,2023-03-19 01:18:09,2023-03-19 01:18:09
昨日は思いがけない出来事がありました。,娘が急な発熱をし、3時間ほどで37度まで上がったのです。 その熱が3時間ほどで下がり、普通通りのお昼寝をし、その後も熱が... さて、今回のお題は、3年と5ヶ月の息子が2週間前に突然元気がなくなり、昨日から発熱を繰り返しております。 昨日は,23,2023-03-19 01:18:25,2023-03-19 01:18:25
この間、面白いテレビ番組を見ました。,"で、その番組って、今現在テレビで放送しているcmの事を言ってるんでしょうか? 「私にとって""テレビcmはcmなのです!」って、言うのですよね? cmはテレビでも、webからでも見ることができ、気に入ったcmがあったらダウンロードすることもで",5,2023-03-19 01:18:41,2023-03-19 01:18:41
昨日は良い天気だったね,。 ちょっとのんびり過ごしてしまったけど 。 今日の休みはどうだったかな 。 今日は何しようかなぁー 。 10月から新システムになりましたので これからよろしくお願いします。 昨日までは 。 今日の仕事は ちょっとだけなのに 。 今日は 。,8,2023-03-19 01:18:57,2023-03-19 01:18:57
人間はなぜ笑うのか？その理由を解明するための研究が進んでいる,_ ダ・ヴィンチニュース 人間はなぜ笑うのか?その理由を解明するための研究が進んでいるのだ。 人間は自分の表情が怖い、恥ずかしいなどの感覚があると、「笑う」という行為になかなか集中できないというメカニズムが明らかになっている。 その理由は、,53,2023-03-19 01:19:13,2023-03-19 01:19:13
最近、自分自身の成長を感じられるようになってきました。,自分から積極的に行動できるようになったのには変化を感じますよね。 だからこそ、自分からもっと積極的になるべきだと思っていたのですが、それが逆に成長に影を落とす結果を招いてしまったんです。 自分から積極的に行動できない人には、当然と言えば当然,53,2023-03-19 01:19:29,2023-03-19 01:19:29
最近、勉強に時間を取り組むようになりました。,でも最近になって勉強をするようになって、自分を変えたいなぁと感じていました。 そこで、英語を始めてみようかと思っているのですが、いきなり英語を始めてもなかなかできないので、まずは基礎的なことから身に付けたいと思っています。 そこで英語の勉強,30,2023-03-19 01:19:46,2023-03-19 01:19:46
今日は好きな料理を作ってリラックスしました。,私は、自分の好きなことをして、お金を稼いで、もっと魅力的な人間になることが出来るように、頑張っていきたいと思います。 さて、今日も私の好きなことを皆さんにお伝えします。 皆さんはあなたの好きなもの、何がありますか? 私はケーキを食べるのが好,54,2023-03-19 01:20:02,2023-03-19 01:20:02
最近、自分自身について考えることが多い。,昨日、自分(自分のこと)を客観的に見つめ直す作業をした。 自分の行動を客観的に判断し、自分が今までどんなことを感じて、行動してきたのかを考える。 今まで私は、自分の中、特に「過去の記憶」「過去の自分」に関して、過酷で厳しい環境であった。 (,57,2023-03-19 01:20:17,2023-03-19 01:20:17
今日はお祭りに行ってきました。,実は、お母さんの日も今日なのですが、お母さんがいなかったら行く気がしません。(笑) わたしのお母さんも、娘さんが4歳の時に、離婚しています。(まだ離婚してません、笑) 今日は、「離婚してるって本当?」というテーマで、考えてみました。 ※ちな,78,2023-03-19 01:20:33,2023-03-19 01:20:33
人工知能を勉強することは、今後のキャリアに有利だと思う,,3,2023-03-19 01:20:50,2023-03-19 01:20:50
昨日は良い天気だったね,今日は雨が... さてさて今日はそんな日にピッタリのパンです 本日は「メロンパン」のお話です 先日テレビで食べたメロンパンが美味しくて、そのまま家に持ち帰ってしまったのが始まりです というのも、パン屋の主人がメロンパンをお店に出してみたら ,30,2023-03-19 01:21:07,2023-03-19 01:21:07
最近、自分自身を肯定することが大切だと思います。,自分の中に否定的な感情を持つと、ネガティブな思考が起きてきます。 でも、マイナスなことばかりにとらわれすぎてもいけません。時には、ポジティブでいる必要があるのです。 自分を肯定するなんて、なかなかできないことですよね。「それって何?」という,8,2023-03-19 01:21:25,2023-03-19 01:21:25
この間、海に行ってきました。,今まで見たことがなかったので、初めて見る海の景色にドキドキワクワク。 海の風を浴びるだけで、なんだかとっても幸せな気持ちになります。 私は子供の頃から海水浴が大好きで、よく水着を着て海へ遊びに行きました。 今回は子供も私も泳ぎ慣れた海でした,31,2023-03-19 01:21:43,2023-03-19 01:21:43
最近、自分自身が本当にやりたいことを見つけることが大切だと思います。,でも、自分が本当にしたいことってなんだろう。なんで自分のことなんて見つからなくなっちゃうんだろう。なんて悩むことが多々あるのも現実です。だから、私から言うことではないですが、本心からやりたいことを見つけるようにしてくださいね。 夢を見ること,1,2023-03-19 01:22:00,2023-03-19 01:22:00
最近、新しい趣味を始めました。,手作りの本を作るのですが、出来がいまひとつで、挫折しています。 この本を作るのに使いたいのですが何かあったときに使えないかなと思って、 今日は本を見ながら材料をそろえようかと思っているのですが、 ネットにはいろいろ情報があって、手縫いで作る,25,2023-03-19 01:22:15,2023-03-19 01:22:15
この間、好きな場所に行って、自分自身の気持ちを整えました。,1年が過ぎたころには前向きに生きていけるようになっていたので、気持ちを整理したいと思って参加しました。 初めてお会いして「カウンセリングってこんなに難しいのか」とびっくりしましたね。 人生は変えるチャンスがいっぱいあると思いますが、一度きり,13,2023-03-19 01:22:30,2023-03-19 01:22:30
昨日はお友達とおしゃべりして楽しい時間を過ごしました。, 今日は久しぶりの大濠公園でお花見ランチして来ました(^o^)/ 先日お友達に誘われて行って来ました。久しぶりに人が多くて賑わっていた♪ でも桜が咲いてたりしていて見れたりするのは春だからなんだなあと感じました(* ́成人式は着てないけど(,98,2023-03-19 01:22:46,2023-03-19 01:22:46
昨日は家族と一緒にゲームをしました。,私はゲームが大好きです。 ゲーム大好きな子どもたちのために、私ができることを全てやってます。 私にとって、あなたがいつも楽しんでいるように見えて、いつも私を元気づけてくれます。 私はあなたのおかげで、私を、そして今よりももっと成長させること,67,2023-03-19 01:23:00,2023-03-19 01:23:00
最近、誰かを助けることが自分自身の成長につながると感じます。,でもそれって、自分のことを無邪気に喜んでいるのではなくて、本当に周りから「助けて」って言っているのですよね。。。 私も、自分にとっての幸せを探す、それを探すことをがんばっています。 自分の心の中に、そんな風に、思ってもみなかった素敵な世界を,75,2023-03-19 01:23:16,2023-03-19 01:23:16
今日は仕事が忙しくて疲れました。,来週あたりまた余裕があれば再開しますが、もうちょっと早起きはしないといけなさそうですね。 来週も仕事が忙しいそうで、土曜日は休ませていただきました。 日曜日は仕事がなかったので、ちょっとだけゆっくりしてきました。 でもお昼ご飯もとらないとい,43,2023-03-19 01:23:31,2023-03-19 01:23:31
最近、忙しくてなかなか休めない。,寝る時に、なんだか体調がすぐれない。 などなど。 疲れがたまってしまうと、イライラしたり、悲しい気持ちになったりと、さまざまな心身の不調が起こり得るものです。 しかし、こういった不調は、身体の変化が原因であることもあります。 また、原因に関,75,2023-03-19 01:23:46,2023-03-19 01:23:46
この間、好きな音楽を聴きながら料理をしていました。,食事をする際、口の中に入っている食べ物が舌の奥の方に入ったとき、 舌の奥に食べ物が入ると、舌に食べ物が詰まる感じになります。 口の中に入っていない食べ物は、舌が舌の後ろにこもったままの状態で動かないので、 舌がスムーズに動かなくなり、食べ物,73,2023-03-19 01:24:02,2023-03-19 01:24:02
今日は思わず笑ってしまう出来事がありました。,私が「そうだよ。今日はいつもよりちょっとお喋りしたし。」と言うと、彼女は「そうだよ」と私に向けて微笑み、そのあと彼女は「そうだよ。」と言って私から離れていきました。 私は、彼女のことをまるで子供のように思っていたのですが、本当に本当に子供の,32,2023-03-19 01:24:17,2023-03-19 01:24:17
